created_at,entry_id,DHT,APItemp
2024-03-22 01:07:23 UTC,75,2,4
2024-03-22 01:07:44 UTC,76,3,91
2024-03-22 01:08:04 UTC,77,4,58
2024-03-22 01:08:25 UTC,78,5,63
2024-03-22 01:08:45 UTC,79,6,64
2024-03-22 01:09:05 UTC,80,7,83
2024-03-22 01:09:26 UTC,81,8,62
2024-03-22 01:09:46 UTC,82,9,26
2024-03-22 01:10:06 UTC,83,10,71
2024-03-22 01:10:27 UTC,84,11,36
2024-03-22 01:10:47 UTC,85,12,47
2024-03-22 01:11:08 UTC,86,13,50
2024-03-22 01:11:28 UTC,87,14,62
2024-03-22 01:11:49 UTC,88,15,29
2024-03-22 01:12:09 UTC,89,16,99
2024-03-22 01:12:29 UTC,90,17,51
2024-03-22 01:12:50 UTC,91,18,32
2024-03-22 01:13:10 UTC,92,19,81
2024-03-22 01:13:31 UTC,93,20,79
2024-03-22 01:13:51 UTC,94,21,81
2024-03-22 01:14:11 UTC,95,22,53
2024-03-22 01:14:32 UTC,96,23,44
2024-03-22 01:14:52 UTC,97,24,68
2024-03-22 01:15:12 UTC,98,25,2
2024-03-22 01:15:33 UTC,99,26,13
2024-03-22 01:16:09 UTC,100,28,299.63
2024-03-22 01:16:33 UTC,101,28,299.63
2024-03-22 01:16:57 UTC,102,28,299.63
2024-03-22 01:17:21 UTC,103,28,299.63
2024-03-22 01:17:44 UTC,104,28,299.63
2024-03-22 01:18:08 UTC,105,28,299.63
2024-03-22 01:18:33 UTC,106,28,299.63
2024-03-22 01:18:57 UTC,107,28,299.63
2024-03-22 01:19:21 UTC,108,28,299.63
2024-03-22 01:19:44 UTC,109,28,299.63
2024-03-22 01:20:10 UTC,110,28,299.63
2024-03-22 01:20:33 UTC,111,28,299.63
2024-03-22 01:20:57 UTC,112,28,299.63
2024-03-22 01:21:20 UTC,113,29,299.63
2024-03-22 01:21:44 UTC,114,29,299.63
2024-03-22 01:22:08 UTC,115,29,299.63
2024-03-22 01:22:31 UTC,116,28,299.63
2024-03-22 01:22:54 UTC,117,28,299.63
2024-03-22 01:23:17 UTC,118,28,299.63
2024-03-22 01:23:41 UTC,119,28,299.63
2024-03-22 01:24:04 UTC,120,28,299.63
2024-03-22 01:24:27 UTC,121,28,299.63
2024-03-22 01:24:51 UTC,122,28,299.63
2024-03-22 01:25:15 UTC,123,28,299.63
2024-03-22 01:25:38 UTC,124,28,299.63
2024-03-22 01:26:02 UTC,125,28,299.63
2024-03-22 01:26:26 UTC,126,28,299.63
2024-03-22 01:26:49 UTC,127,28,299.63
2024-03-22 01:27:12 UTC,128,28,299.63
2024-03-22 01:27:37 UTC,129,28,299.63
2024-03-22 01:28:00 UTC,130,28,299.63
2024-03-22 01:28:24 UTC,131,28,299.63
2024-03-22 01:28:47 UTC,132,28,299.63
2024-03-22 01:29:10 UTC,133,28,299.63
2024-03-22 01:29:34 UTC,134,28,299.63
2024-03-22 01:29:57 UTC,135,28,299.63
2024-03-22 01:30:22 UTC,136,28,299.63
2024-03-22 01:30:46 UTC,137,28,299.63
2024-03-22 01:31:09 UTC,138,28,299.63
2024-03-22 01:31:35 UTC,139,28,299.63
2024-03-22 01:31:58 UTC,140,28,299.63
2024-03-22 01:32:22 UTC,141,28,299.63
2024-03-22 01:32:45 UTC,142,28,299.63
2024-03-22 01:33:09 UTC,143,28,299.63
2024-03-22 01:33:32 UTC,144,28,299.63
2024-03-22 01:33:55 UTC,145,28,299.63
2024-03-22 01:34:18 UTC,146,28,299.63
2024-03-22 01:34:42 UTC,147,28,299.63
2024-03-22 01:35:05 UTC,148,28,299.63
2024-03-22 01:35:28 UTC,149,28,299.63
2024-03-22 01:35:51 UTC,150,28,299.63
2024-03-22 01:36:14 UTC,151,28,299.63
2024-03-22 01:36:38 UTC,152,28,299.63
2024-03-22 01:37:01 UTC,153,28,299.63
2024-03-22 01:37:24 UTC,154,28,299.63
2024-03-22 01:38:05 UTC,155,28,26.8
2024-03-22 01:38:29 UTC,156,28,26.8
2024-03-22 01:38:52 UTC,157,28,26.8
2024-03-22 01:39:16 UTC,158,28,26.8
2024-03-22 01:39:39 UTC,159,28,26.8
2024-03-22 01:40:02 UTC,160,28,26.8
2024-03-22 01:40:26 UTC,161,28,26.8
2024-03-22 01:40:49 UTC,162,28,26.8
2024-03-22 01:41:12 UTC,163,28,26.8
2024-03-22 01:41:35 UTC,164,28,26.8
2024-03-22 01:41:59 UTC,165,28,26.8
2024-03-22 01:42:22 UTC,166,28,26.8
2024-03-22 01:42:45 UTC,167,28,26.8
2024-03-22 01:43:09 UTC,168,28,26.8
2024-03-22 01:43:32 UTC,169,28,26.8
2024-03-22 01:43:55 UTC,170,28,26.8
2024-03-22 01:44:19 UTC,171,28,26.8
2024-03-22 01:44:42 UTC,172,28,26.8
2024-03-22 01:45:05 UTC,173,28,26.8
2024-03-22 01:45:29 UTC,174,28,26.8
